hotmail.com,::ffff:157.56.172.28
craigslist.org,::ffff:208.82.237.129
weather.com,::ffff:104.100.119.224
soku.com,::ffff:220.181.185.143
360.cn,::ffff:125.88.190.56
alibaba.com,::ffff:198.11.132.23
renren.com,::ffff:103.235.252.211
blogger.com,2607:f8b0:4005:801::2009
vkontakte.ru,2a00:bdc0:4:10f:1:0:615:104
livedoor.jp,::ffff:125.6.149.67
answers.com,::ffff:67.196.156.65
rapidshare.com,::ffff:10.11.12.13
facebook.com,2a03:2880:f10d:83:face:b00c:0:25de
ifeng.com,::ffff:210.51.19.63
goo.ne.jp,::ffff:153.254.147.65
paipai.com,::ffff:163.177.83.173
youtube.com,2607:f8b0:4005:801::200e
yahoo.com,2001:4998:58:c02::a9
alipay.com,::ffff:110.76.20.33
bbc.co.uk,::ffff:212.58.244.22
live.com,::ffff:65.55.206.154
wikipedia.org,2620:0:863:ed1a::1
yandex.ru,2a02:6b8:a::a
msn.com,::ffff:13.82.28.61
softonic.com,::ffff:46.28.209.62
nifty.com,::ffff:222.158.213.148
daum.net,::ffff:114.108.157.19
myspace.com,::ffff:63.135.90.70
amazon.com,::ffff:54.239.25.200
mail.ru,2a00:1148:db00:0:b0b0::1
7k7k.com,::ffff:115.182.59.33
cnet.com,::ffff:64.30.228.118
go.com,::ffff:199.181.131.249
tudou.com,::ffff:123.126.98.150
4399.com,::ffff:118.184.184.70
baidu.com,::ffff:220.181.57.217
yahoo.co.jp,::ffff:182.22.59.229
blogspot.com,2607:f8b0:4005:801::2009
2345.com,::ffff:42.62.30.180
imageshack.us,::ffff:208.94.3.18
orkut.com,::ffff:104.155.130.242
sohu.com,::ffff:220.181.90.20
apple.com,::ffff:17.172.224.47
wordpress.com,::ffff:192.0.78.17
hao123.com,::ffff:180.149.131.31
ebay.com,::ffff:66.211.181.123
windows.com,::ffff:191.239.213.197
xunlei.com,::ffff:182.118.18.100
56.com,::ffff:101.227.173.126
pps.tv,::ffff:58.83.190.154
fc2.com,::ffff:54.69.196.173
paypal.com,::ffff:64.4.250.32
tmall.com,::ffff:140.205.130.99
sogou.com,::ffff:118.191.216.42
cnn.com,::ffff:151.101.192.73
ku6.com,::ffff:122.11.45.243
skype.com,::ffff:23.102.255.237
tianya.cn,::ffff:124.225.65.154
ameblo.jp,::ffff:27.133.208.13
naver.com,::ffff:202.179.177.22
microsoft.com,::ffff:191.239.213.197
photobucket.com,::ffff:209.17.80.100
mywebsearch.com,::ffff:74.113.237.48
flickr.com,::ffff:69.147.76.173
rakuten.co.jp,::ffff:133.237.48.124
qq.com,::ffff:61.135.157.156
4shared.com,::ffff:204.155.149.29
about.com,::ffff:207.241.148.80
zynga.com,::ffff:54.148.147.56
partypoker.com,::ffff:88.81.155.145
hp.com,::ffff:15.217.232.245
linkedin.com,2620:109:c002::6cae:a0a
amazon.co.jp,::ffff:54.240.252.0
dailymotion.com,::ffff:195.8.215.136
mediafire.com,::ffff:205.196.120.12
walmart.com,::ffff:161.170.248.20
imdb.com,::ffff:207.171.166.22
taobao.com,::ffff:140.205.220.96
aol.com,::ffff:207.200.74.38
orkut.com.br,
bing.com,::ffff:204.79.197.200
sina.com.cn,::ffff:202.108.33.60
ehow.com,::ffff:23.227.11.12
kugou.com,::ffff:14.18.236.182
163.com,::ffff:123.58.180.8
ebay.de,::ffff:66.211.181.235
ask.com,::ffff:66.235.120.127
adobe.com,::ffff:192.150.16.117
youdao.com,::ffff:61.135.218.30
twitter.com,::ffff:104.244.42.193
mozilla.com,::ffff:63.245.213.24
soso.com,::ffff:106.120.151.169
hotfile.com,::ffff:199.184.144.150
youku.com,::ffff:43.250.12.42
sdjjdsaf.com,
andysayler.com,::ffff:162.243.49.20
wmfo.org,::ffff:23.92.21.128
pconline.com.cn,::ffff:219.136.245.40
qiyi.com,::ffff:101.227.22.157
odnoklassniki.ru,::ffff:217.20.155.58
seesaa.net,::ffff:59.106.28.139
jp.msn.com,::ffff:13.88.15.24
