facebook.com,31.13.77.36
youtube.com,216.58.192.14
yahoo.com,98.138.253.109
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,13.82.28.61
baidu.com,180.149.132.47
microsoft.com,104.40.211.35
blogspot.com,216.58.192.9
qq.com,61.135.157.156
taobao.com,140.205.94.189
bing.com,204.79.197.200
amazon.com,54.239.25.200
ifeng.com,210.51.19.63
hotmail.com,65.55.85.12
goo.ne.jp,153.254.147.65
sina.com.cn,202.108.33.107
bbc.co.uk,212.58.244.22
360.cn,125.88.190.56
craigslist.org,208.82.237.129
wordpress.com,192.0.78.9
paipai.com,163.177.83.173
tudou.com,123.126.98.150
yahoo.co.jp,183.79.135.206
soso.com,106.120.151.169
yandex.ru,77.88.55.70
sohu.com,220.181.90.20
myspace.com,63.135.90.70
weather.com,23.5.250.72
163.com,123.58.180.7
apple.com,17.172.224.47
mail.ru,217.69.139.200
soku.com,43.250.12.57
alibaba.com,205.204.101.42
alipay.com,110.76.19.33
hao123.com,180.149.132.19
cnet.com,64.30.228.118
go.com,199.181.131.249
renren.com,103.235.252.212
windows.com,104.43.195.251
ebay.com,66.211.185.25
ask.com,66.235.120.127
livedoor.jp,125.6.149.67
4399.com,118.184.184.70
blogger.com,216.58.192.9
vkontakte.ru,95.213.4.229
xunlei.com,182.118.18.100
orkut.com,104.155.130.242
skype.com,104.40.50.126
ameblo.jp,27.133.208.13
answers.com,67.196.156.65
softonic.com,46.28.209.62
pps.tv,58.83.190.154
naver.com,202.179.177.22
flickr.com,69.147.76.173
adobe.com,192.150.16.117
twitter.com,104.244.42.65
rapidshare.com,10.11.12.13
daum.net,110.45.215.23
4shared.com,204.155.149.29
7k7k.com,115.182.59.33
nifty.com,222.158.213.148
2345.com,42.62.30.180
photobucket.com,209.17.80.100
imageshack.us,208.94.3.18
fc2.com,52.41.147.165
mozilla.com,63.245.213.24
amazon.co.jp,54.240.248.0
paypal.com,64.4.250.32
mediafire.com,205.196.120.13
youku.com,59.82.2.37
linkedin.com,108.174.10.10
sdjjdsaf.com,
cnn.com,151.101.64.73
56.com,101.227.173.126
tianya.cn,124.225.65.154
ehow.com,23.227.11.12
seesaa.net,59.106.98.139
dailymotion.com,195.8.215.136
sogou.com,118.191.216.42
imdb.com,72.21.206.80
tmall.com,140.205.130.99
aol.com,64.12.89.186
andysayler.com,162.243.49.20
ku6.com,122.11.45.243
wmfo.org,23.92.21.128
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
partypoker.com,88.81.155.145
hp.com,15.216.241.18
walmart.com,161.170.248.20
kugou.com,14.18.236.182
ebay.de,66.135.201.153
youdao.com,61.135.218.30
hotfile.com,199.184.144.150
orkut.com.br,
pconline.com.cn,219.136.245.40
qiyi.com,101.227.22.162
odnoklassniki.ru,217.20.155.58
jp.msn.com,13.88.15.24
