facebook.com,31.13.70.36
youtube.com,216.58.192.14
yahoo.com,98.138.253.109
live.com,65.55.206.154
msn.com,13.82.28.61
baidu.com,180.149.132.47
wikipedia.org,198.35.26.96
blogspot.com,216.58.192.9
microsoft.com,23.96.52.53
qq.com,61.135.157.156
hotmail.com,65.55.77.28
paipai.com,112.90.77.176
taobao.com,140.205.94.189
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
360.cn,125.88.190.56
ifeng.com,210.51.19.63
craigslist.org,208.82.237.129
soso.com,106.120.151.169
amazon.com,54.239.25.200
weather.com,23.5.250.72
goo.ne.jp,153.254.147.65
alipay.com,110.76.19.33
softonic.com,46.28.209.62
163.com,123.58.180.8
nifty.com,222.158.213.148
bbc.co.uk,212.58.244.22
yandex.ru,77.88.55.70
soku.com,220.181.185.143
alibaba.com,198.11.132.23
myspace.com,63.135.90.70
imageshack.us,208.94.3.18
wordpress.com,192.0.78.17
ask.com,66.235.120.127
cnn.com,151.101.64.73
tianya.cn,124.225.65.154
renren.com,103.235.252.211
mail.ru,217.69.139.200
livedoor.jp,125.6.149.67
tudou.com,123.126.98.149
zynga.com,54.148.147.56
cnet.com,64.30.228.118
mywebsearch.com,74.113.237.48
adobe.com,192.150.16.117
go.com,199.181.131.249
partypoker.com,88.81.155.145
yahoo.co.jp,183.79.135.206
4399.com,118.184.184.70
hp.com,15.217.232.245
walmart.com,161.170.248.20
orkut.com,104.155.130.242
skype.com,104.40.50.126
twitter.com,104.244.42.1
kugou.com,14.18.236.182
sohu.com,220.181.90.20
ameblo.jp,27.133.208.13
ebay.de,66.135.201.153
apple.com,17.178.96.59
naver.com,125.209.222.141
youdao.com,61.135.218.26
hotfile.com,199.184.144.150
blogger.com,216.58.192.9
vkontakte.ru,95.213.4.229
flickr.com,69.147.76.173
qiyi.com,101.227.22.162
hao123.com,123.125.114.224
4shared.com,204.155.149.31
answers.com,67.196.156.65
pconline.com.cn,219.136.245.40
windows.com,191.239.213.197
mozilla.com,63.245.213.24
odnoklassniki.ru,217.20.155.58
youku.com,43.250.12.42
sdjjdsaf.com,
rapidshare.com,10.11.12.13
jp.msn.com,13.88.15.24
amazon.co.jp,54.240.248.0
linkedin.com,108.174.10.10
ebay.com,66.211.181.123
xunlei.com,119.188.108.240
56.com,101.227.173.126
pps.tv,58.83.190.154
daum.net,114.108.157.19
dailymotion.com,195.8.215.136
2345.com,42.62.30.180
andysayler.com,162.243.49.20
fc2.com,52.41.147.165
wmfo.org,23.92.21.128
imdb.com,72.21.206.80
aol.com,207.200.74.38
paypal.com,64.4.250.32
photobucket.com,209.17.68.100
sogou.com,118.191.216.42
tmall.com,140.205.94.193
mediafire.com,205.196.120.12
ku6.com,122.11.45.243
7k7k.com,115.182.59.33
ehow.com,23.227.11.12
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
seesaa.net,59.106.28.139
orkut.com.br,
